schema_name,proname,oid,identity_args,prokind,prosecdef,owner,proacl,proconfig,search_path_pinned,search_path_value,rolsuper,rolcreaterole,rolcreatedb,rolbypassrls
public,admin_update_venue_rules,19427,"p_venue_id uuid, p_rules_text text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_species_stock,19486,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_warn_user,19051,"p_user_id uuid, p_reason text, p_severity warning_severity, p_duration_hours integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,assert_moderation_allowed,19034,p_user_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,block_profile,19150,"p_blocked_id uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,check_email_exists,18899,email_to_check text,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,check_rate_limit,18791,"p_user_id uuid, p_action text, p_max_attempts integer, p_window_minutes integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,cleanup_rate_limits,18794,,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,community_stats_handle_catches_change,19550,,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,create_comment_with_rate_limit,18956,"p_catch_id uuid, p_body text, p_parent_comment_id uuid",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,create_notification,19033,"p_user_id uuid, p_message text, p_type notification_type, p_actor_id uuid, p_catch_id uuid, p_comment_id uuid, p_extra_data jsonb",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,create_report_with_rate_limit,18902,"p_target_type report_target_type, p_target_id uuid, p_reason text, p_details text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,enforce_catch_moderation,19036,,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,enforce_catch_rate_limit,18795,,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,enforce_comment_rate_limit,18796,,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,enforce_report_rate_limit,18797,,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,follow_profile_with_rate_limit,18905,p_following_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_catch_rating_summary,19330,p_catch_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_community_stats,19552,,f,true,postgres,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_feed_catches,19432,"p_limit integer, p_offset integer, p_scope text, p_sort text, p_species text, p_custom_species text, p_venue_id uuid, p_session_id uuid",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_follower_count,18927,p_profile_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_insights_aggregates,19566,"p_date_preset text, p_custom_start timestamp with time zone, p_custom_end timestamp with time zone, p_selected_session_id uuid, p_selected_venue text",f,true,postgres,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_leaderboard_scores,19628,"p_species_slug text, p_limit integer",f,true,postgres,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=\""\""""]",true,"""""",false,true,true,true
public,get_my_venue_rating,19281,p_venue_id uuid,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_rate_limit_status,19317,"p_user_id uuid, p_action text, p_max_attempts integer, p_window_minutes integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_species_options,19564,"p_only_active boolean, p_only_with_catches boolean",f,true,postgres,"{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_by_slug,19648,p_slug text,f,false,postgres,"{postgres=X/postgres,service_role=X/postgres,anon=X/postgres,authenticated=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_past_events,19310,"p_venue_id uuid, p_now timestamp with time zone, p_limit integer, p_offset integer",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_photos,19251,"p_venue_id uuid, p_limit integer, p_offset integer",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_recent_catches,19144,"p_venue_id uuid, p_limit integer, p_offset integer",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_top_anglers,19149,"p_venue_id uuid, p_limit integer",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_top_catches,19145,"p_venue_id uuid, p_limit integer",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venue_upcoming_events,19309,"p_venue_id uuid, p_now timestamp with time zone, p_limit integer",f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,get_venues,19647,"p_search text, p_limit integer, p_offset integer",f,false,postgres,"{postgres=X/postgres,service_role=X/postgres,anon=X/postgres,authenticated=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,handle_catches_leaderboard_change,19617,,f,true,postgres,"{postgres=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,handle_new_user,18597,,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,handle_ratings_leaderboard_change,19616,,f,true,postgres,"{postgres=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,insights_format_label,19565,value text,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",null,false,null,false,true,true,true
public,is_admin,18928,p_user_id uuid,f,false,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
