object_type,schema_name,object_name,grantee,privilege_type,is_grantable
sequence,net,http_request_queue_id_seq,PUBLIC,UPDATE,false
sequence,supabase_functions,hooks_id_seq,anon,UPDATE,false
sequence,supabase_functions,hooks_id_seq,authenticated,UPDATE,false
table,net,_http_response,PUBLIC,DELETE,NO
table,net,_http_response,PUBLIC,INSERT,NO
table,net,_http_response,PUBLIC,REFERENCES,NO
table,net,_http_response,PUBLIC,TRIGGER,NO
table,net,_http_response,PUBLIC,TRUNCATE,NO
table,net,_http_response,PUBLIC,UPDATE,NO
table,net,http_request_queue,PUBLIC,DELETE,NO
table,net,http_request_queue,PUBLIC,INSERT,NO
table,net,http_request_queue,PUBLIC,REFERENCES,NO
table,net,http_request_queue,PUBLIC,TRIGGER,NO
table,net,http_request_queue,PUBLIC,TRUNCATE,NO
table,net,http_request_queue,PUBLIC,UPDATE,NO
table,realtime,messages,anon,INSERT,NO
table,realtime,messages,anon,UPDATE,NO
table,realtime,messages,authenticated,INSERT,NO
table,realtime,messages,authenticated,UPDATE,NO
table,storage,buckets,anon,DELETE,NO
table,storage,buckets,anon,INSERT,NO
table,storage,buckets,anon,REFERENCES,NO
table,storage,buckets,anon,TRIGGER,NO
table,storage,buckets,anon,TRUNCATE,NO
table,storage,buckets,anon,UPDATE,NO
table,storage,buckets,authenticated,DELETE,NO
table,storage,buckets,authenticated,INSERT,NO
table,storage,buckets,authenticated,REFERENCES,NO
table,storage,buckets,authenticated,TRIGGER,NO
table,storage,buckets,authenticated,TRUNCATE,NO
table,storage,buckets,authenticated,UPDATE,NO
table,storage,buckets_analytics,anon,DELETE,NO
table,storage,buckets_analytics,anon,INSERT,NO
table,storage,buckets_analytics,anon,REFERENCES,NO
table,storage,buckets_analytics,anon,TRIGGER,NO
table,storage,buckets_analytics,anon,TRUNCATE,NO
table,storage,buckets_analytics,anon,UPDATE,NO
table,storage,buckets_analytics,authenticated,DELETE,NO
table,storage,buckets_analytics,authenticated,INSERT,NO
table,storage,buckets_analytics,authenticated,REFERENCES,NO
table,storage,buckets_analytics,authenticated,TRIGGER,NO
table,storage,buckets_analytics,authenticated,TRUNCATE,NO
table,storage,buckets_analytics,authenticated,UPDATE,NO
table,storage,objects,anon,DELETE,NO
table,storage,objects,anon,INSERT,NO
table,storage,objects,anon,REFERENCES,NO
table,storage,objects,anon,TRIGGER,NO
table,storage,objects,anon,TRUNCATE,NO
table,storage,objects,anon,UPDATE,NO
table,storage,objects,authenticated,DELETE,NO
table,storage,objects,authenticated,INSERT,NO
table,storage,objects,authenticated,REFERENCES,NO
table,storage,objects,authenticated,TRIGGER,NO
table,storage,objects,authenticated,TRUNCATE,NO
table,storage,objects,authenticated,UPDATE,NO
table,storage,prefixes,anon,DELETE,NO
table,storage,prefixes,anon,INSERT,NO
table,storage,prefixes,anon,REFERENCES,NO
table,storage,prefixes,anon,TRIGGER,NO
table,storage,prefixes,anon,TRUNCATE,NO
table,storage,prefixes,anon,UPDATE,NO
