record_type,schema_name,function_name,identity_args,prokind,is_security_definer,owner_role,language,search_path_value,search_path_pinned,proacl_text,grantee,privilege_type
execute_grant,net,http_delete,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,http_get,,,,,,,,,anon,EXECUTE
execute_grant,net,http_get,,,,,,,,,authenticated,EXECUTE
execute_grant,net,http_get,,,,,,,,,postgres,EXECUTE
execute_grant,net,http_get,,,,,,,,,service_role,EXECUTE
execute_grant,net,http_post,,,,,,,,,anon,EXECUTE
execute_grant,net,http_post,,,,,,,,,authenticated,EXECUTE
execute_grant,net,http_post,,,,,,,,,postgres,EXECUTE
execute_grant,net,http_post,,,,,,,,,service_role,EXECUTE
execute_grant,net,wait_until_running,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,wake,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,worker_restart,,,,,,,,,PUBLIC,EXECUTE
execute_grant,public,admin_add_venue_owner,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_add_venue_owner,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_add_venue_owner,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_add_venue_photo,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_add_venue_photo,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_add_venue_photo,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_clear_moderation_status,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_clear_moderation_status,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_clear_moderation_status,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_create_venue_event,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_create_venue_event,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_create_venue_event,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_create_venue_opening_hour,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_create_venue_opening_hour,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_create_venue_opening_hour,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_create_venue_pricing_tier,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_create_venue_pricing_tier,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_create_venue_pricing_tier,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_create_venue_species_stock,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_create_venue_species_stock,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_create_venue_species_stock,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_account,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_account,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_account,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_catch,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_catch,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_catch,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_comment,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_comment,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_comment,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_venue_event,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_venue_event,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_venue_event,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_venue_opening_hour,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_venue_opening_hour,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_venue_opening_hour,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_venue_photo,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_venue_photo,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_venue_photo,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_venue_pricing_tier,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_venue_pricing_tier,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_venue_pricing_tier,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_delete_venue_species_stock,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_delete_venue_species_stock,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_delete_venue_species_stock,,,,,,,,,service_role,EXECUTE
execute_grant,public,admin_get_venue_by_slug,,,,,,,,,authenticated,EXECUTE
execute_grant,public,admin_get_venue_by_slug,,,,,,,,,postgres,EXECUTE
execute_grant,public,admin_get_venue_by_slug,,,,,,,,,service_role,EXECUTE
